NLC,2019_Full,2019_Reduced,2019_Season,2019_Total,2019_Changes,2019_Rank,2019_VarYoY,2018_Full,2018_Reduced,2018_Season,2018_Total,2018_Changes,2018_Rank,2018_VarYoY,2017_Full,2017_Reduced,2017_Season,2017_Total,2017_Changes,2017_Rank,2017_VarYoY,2016_Total,2016_Changes,2016_Rank,2016_VarYoY,2015_Total,2015_Changes,2015_Rank,2015_VarYoY,2014_Total,2014_Changes,2014_Rank,2014_VarYoY,2013_Total,2013_Changes,2013_Rank,2013_VarYoY,2012_Total,2012_Changes,2012_Rank,2012_VarYoY,2011_Total,2011_Changes,2011_Rank,2011_VarYoY,2010_Total,2010_Changes,2010_Rank,2010_VarYoY,2009_Total,2009_Changes,2009_Rank,2009_VarYoY,2008_Total,2008_Changes,2008_Rank,2008_VarYoY,2007_Total,2007_Changes,2007_Rank,2007_VarYoY,2006_Total,2006_Changes,2006_Rank,2006_VarYoY,2005_Total,2005_Changes,2005_Rank,2005_VarYoY,2004_Total,2004_Changes,2004_Rank,2004_VarYoY,2003_Total,2003_Changes,2003_Rank,2003_VarYoY,2002_Total,2002_Changes,2002_Rank,2002_VarYoY,2001_Total,2001_Changes,2001_Rank,2001_VarYoY,2000_Total,2000_Changes,2000_Rank,2000_VarYoY,1999_Total,1999_Changes,1999_Rank,1999_VarYoY,1998_Total,1998_Changes,1998_Rank,1998_VarYoY,1997_Total,1997_Changes,1997_Rank,1997_VarYoY
375,47622,2756,47782,98160,0,1750,-12.26,49504,1546,60828,111878,10,1669,10.37,46874,1674,52814,101362,9,1716,17.29,86422,2,1781,16.46,74206,0,1820,6.94,69390,0,1823,335.37,15938,0,2230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
506,918280,991596,157336,2067212,0,288,3.79,881342,943044,167394,1991780,0,301,2.65,858946,899568,181846,1940360,0,302,-0.94,1958866,0,296,0.75,1944310,0,302,-8.89,2133978,0,271,-1.40,2164370,0,249,6.33,2035452,0,259,14.09,1784008,0,284,4.10,1713718,0,274,40.59,1218936,0,352,15.02,1059766,0,409,-29.86,1510922,0,270,-16.33,1805767,0,210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
539,370846,437372,41024,849242,0,655,-1.89,374784,439766,51034,865584,0,646,2.36,361002,421928,62734,845664,0,636,1.68,831716,0,640,1.15,822284,0,656,0.60,817372,0,644,9.25,748158,0,665,6.51,702438,0,670,-2.21,718276,0,643,4.63,686488,0,623,72.20,398650,0,849,56.70,254398,0,1103,-27.18,349370,0,860,-21.76,446522,0,680,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
546,242832,280572,33740,557144,0,848,-1.36,240178,283020,41640,564838,0,841,2.07,234218,272852,46308,553378,0,835,0.18,552374,0,827,2.75,537576,0,850,-25.54,721940,0,692,7.48,671680,0,707,6.20,632460,0,713,3.13,613284,0,716,0.72,608914,0,681,51.21,402688,0,842,18.60,339532,0,935,-32.01,499400,0,672,-23.17,650033,0,536,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
577,6049526,4604012,5843124,16496662,399200,28,9.34,5196712,4072372,5818404,15087488,382640,29,19.57,4120698,3285266,5212392,12618356,167728,34,4.76,12045560,145989,34,-1.15,12185440,152491,34,73.89,7007470,113232,57,8.56,6454850,196230,58,28.05,5040844,181883,76,1.96,4944088,150504,74,6.74,4632081,206441,74,210.42,1492179,80371,288,27.20,1173136,79378,369,-31.17,1704292,571318,238,4.13,1636705,214544,232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
598,1158172,1291108,204360,2653640,0,226,0.70,1132356,1257228,245698,2635282,0,232,4.66,1076958,1173956,267120,2518034,0,235,2.22,2463400,0,237,2.85,2395172,0,247,24.37,1925856,0,295,37.88,1396730,0,377,-0.98,1410622,0,364,-2.34,1444388,0,348,10.32,1309328,0,357,188.93,453158,0,778,188.39,157134,0,1342,-46.54,293939,0,960,41.89,207167,0,1087,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
687,486422,584370,103984,1174776,0,504,-2.53,490980,589126,125214,1205320,0,492,2.93,467200,556290,147536,1171026,0,484,0.76,1162196,0,485,3.38,1124216,0,515,20.70,931434,0,587,15.38,807286,0,627,10.04,733604,0,647,-0.21,735112,0,635,10.71,663990,0,645,132.33,285790,0,1045,87.69,152268,0,1360,-24.90,202743,0,1144,-26.69,276561,0,936,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
990,79868,92968,78934,251770,0,1277,-3.20,81272,96390,82420,260082,0,1257,4.13,75916,91240,82622,249778,0,1275,4.65,238688,0,1288,10.82,215390,0,1337,15.59,186334,0,1395,13.14,164696,0,1436,16.74,141076,0,1490,11.89,126088,0,1539,1028.81,11170,0,2250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
991,19934,21048,16196,57178,0,1960,-4.35,21334,21324,17122,59780,0,1934,3.02,20210,20336,17484,58030,0,1937,2.00,56894,0,1943,6.96,53194,0,1948,3.35,51470,0,1942,8.75,47330,0,1956,10.98,42646,0,1975,-1.42,43262,0,1965,249.06,12394,0,2234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
992,25046,39908,39338,104292,0,1720,6.15,25846,40032,32376,98254,0,1735,-2.14,23606,38950,37848,100404,0,1722,13.21,88688,0,1773,-20.44,111472,0,1665,2.23,109038,0,1662,6.98,101926,0,1677,9.60,92996,0,1706,2.20,90992,0,1692,718.27,11120,0,2251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1003,26932,59368,86132,172432,0,1488,-1.40,28686,57440,88750,174876,0,1469,10.35,27656,52730,78092,158478,0,1511,-0.23,158840,0,1502,1.81,156020,0,1500,14.35,136440,0,1544,-0.08,136546,0,1524,5.89,128946,0,1535,-3.00,132930,0,1507,51.21,87908,0,1671,5.21,83552,0,1655,-0.78,84206,0,1628,74.86,48155,0,1801,-12.49,55030,0,1709,18.49,46444,0,1715,-1.11,46963,0,1682,-7.70,50881,0,1641,-7.15,54799,0,1581,-6.96,58900,0,1556,-4.33,61563,0,1547,-10.82,69031,0,1485,1.15,68249,0,1459,10.58,61721,0,1469,
1004,173382,192478,317232,683092,51976,749,3.80,152822,191136,314114,658072,55357,770,15.29,122876,177502,270420,570798,49601,820,8.66,525306,50369,860,-1.48,533212,49623,861,8.94,489476,48372,890,1.08,484232,51630,873,10.64,437680,46954,912,-1.68,445164,48243,887,32.38,336266,48378,1013,-2.47,344792,42369,934,1.02,341302,42559,933,65.42,206324,19684,1132,23.03,167698,18577,1188,2.94,162901,16770,1141,0.50,162092,16743,1105,2.73,157778,0,1095,2.81,153463,0,1077,2.52,149696,11263,1085,19.04,125757,11462,1177,-7.83,136444,12830,1138,3.81,131436,0,1132,-1.57,133530,0,1069,
1006,1119058,1669882,2831036,5619976,167371,87,4.72,1027132,1443134,2896522,5366788,278780,92,17.90,796252,1161938,2593632,4551822,267764,108,2.27,4450874,279065,110,-5.57,4713174,242862,104,3.86,4538108,239371,98,2.30,4435982,257661,93,0.76,4402376,214288,86,-2.83,4530530,182278,78,1.98,4442761,154580,77,24.12,3579270,149609,88,-11.19,4030223,186326,77,67.42,2407283,134320,161,24.15,1938950,98807,192,559.98,293788,304042,817,-0.73,295937,216908,793,13.60,260511,0,833,15.74,225085,0,874,-3.14,232379,31443,854,2.50,226712,35379,879,25.74,180301,26269,999,-12.12,205166,0,901,56.14,131395,0,1079,
1010,115730,215880,333346,664956,0,766,-0.99,116018,216746,338812,671576,0,760,9.61,113336,204686,294660,612682,0,788,4.05,588856,0,795,1.85,578164,0,813,8.15,534618,0,844,2.58,521164,0,834,3.53,503394,0,830,2.33,491926,0,824,28.74,382120,0,932,2.70,372092,0,898,2.15,364272,0,900,92.06,189670,0,1174,6.66,177832,0,1160,17.99,150722,0,1179,5.62,142707,0,1166,6.27,134293,0,1170,6.68,125879,0,1175,8.12,116422,0,1216,5.79,110046,0,1239,-8.73,120578,0,1194,-6.93,129558,0,1139,15.94,111745,0,1159,
1011,47662,123320,157188,328170,0,1142,-4.62,52580,130386,161090,344056,0,1106,12.94,44598,119638,140402,304638,0,1164,7.74,282742,0,1205,-4.58,296324,0,1179,12.84,262616,0,1228,-2.97,270666,0,1199,6.58,253956,0,1202,-4.41,265682,0,1172,56.51,169758,0,1354,-0.28,170228,0,1312,3.77,164046,0,1319,64.44,99759,0,1493,28.97,77351,0,1562,3.28,74894,0,1512,3.52,72344,0,1506,-7.88,78529,0,1455,-7.30,84713,0,1384,2.01,83043,0,1391,15.90,71651,0,1469,-15.96,85255,0,1393,5.36,80916,0,1379,-3.75,84072,0,1311,
1016,66114,107694,23924,197732,0,1409,-5.06,71158,107934,29168,208260,0,1369,4.15,67996,101058,30902,199956,0,1386,-14.25,233172,0,1305,5.85,220290,0,1322,-0.38,221124,0,1304,-10.82,247942,0,1234,0.78,246014,0,1219,-3.10,253890,0,1194,13.05,224584,0,1220,10.23,203736,0,1220,11.38,182918,0,1276,23.78,147782,0,1303,4.25,141751,0,1282,13.72,124652,0,1283,2.14,122041,0,1253,3.12,118353,0,1246,3.22,114665,0,1222,0.80,113751,0,1231,3.41,110001,0,1240,4.00,105766,0,1272,1.69,104009,0,1246,19.84,86789,0,1297,
1017,34972,55338,21500,111810,0,1688,15.38,36214,46984,13704,96902,0,1742,8.08,35966,40176,13514,89656,0,1773,-17.24,108336,0,1680,11.44,97214,0,1719,5.21,92398,0,1733,-15.96,109942,0,1641,3.26,106472,0,1642,-8.77,116706,0,1578,24.52,93724,0,1645,12.60,83238,0,1658,-1.40,84420,0,1627,7.53,78506,0,1603,19.67,65604,0,1633,25.27,52371,0,1660,16.12,45102,0,1702,3.37,43633,0,1699,3.48,42164,0,1687,8.00,39042,0,1720,2.14,38224,0,1746,1.22,37764,0,1747,5.34,35849,0,1735,20.65,29714,0,1782,
