table,Name,Description,in_table
stations,NLC,National Location Code,Y
stations,TLC,Three Letter Code; sourced from National Rail,Y
stations,name,Name of Station,Y
stations,x_lon,The longitude of the station (WGS84),Y
stations,y_lat,The latitude of the station (WGS84),Y
stations,Easting,"The Easting reference for the station, using the Ordnance Survey (OS) grid. Sourced from NAPTAN (2016).",Y
stations,Northing,"The Northing reference for the station, using the Ordnance Survey (OS) grid. Sourced from NAPTAN (2016).",Y
stations,facility_owner,The company that owns the station (as of last year),Y
stations,PTE_urban_area,The station is within a urban area covered by PTE services,Y
stations,is_london_travelcard,The station is within a urban area covered by TfL services,Y
stations,NRR,High level Network Rail route associated with the station,Y
stations,SRS,Strategic Route Section code associated with the station,Y
stations,SRSn,Strategic Route Section name associated with the station,Y
stations,is_request_stop,Indicates if the stations is only on request,Y
stations,started_at,First year of data collection,Y
dataset,xxxx_Full,Estimated count of E&E using a full price ticket,Y
dataset,xxxx_Reduced,Estimated count of E&E using a reduced price ticket,Y
dataset,xxxx_Season,Estimated count of E&E using a season ticket,Y
dataset,xxxx_Total,Estimated Total E&E made at the station,Y
dataset,xxxx_Changes,Estimated total number of interchanges made at the station,Y
dataset,xxxx_Rank,Rank of the Total E&E,Y
dataset,xxxx_VarYoY,Percentage change in Total E&E between xxxx and the previous year,Y
dataset,xxxx_var5Ys,Average Percentage change in Total E&E over the period between xxxx and  five years earlier,N
dataset,xxxx_had_large_var,Indicates if the station has had a YoY change in Total E&E of more than |10|%/|25|% for large/small stations,N
dataset,xxxx_size,"Indicates if the station is Small (<10K Total E&E, as of last recorded year), Medium (btw 10K and K) or Large (>K)",N
